lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_mse_step,valid_mae_step,valid_ssim_step,valid_loss_epoch,valid_mse_epoch,valid_mae_epoch,valid_ssim_epoch,test_mse_step,test_mae_step,test_ssim_step,test_mse_epoch,test_mae_epoch,test_ssim_epoch
,,174,,,56.797645568847656,136.7601776123047,0.5058172941207886,,,,,,,,,,
,,175,,,50.432071685791016,133.98240661621094,0.5064664483070374,,,,,,,,,,
,,176,,,43.32774353027344,124.31036376953125,0.5068514943122864,,,,,,,,,,
,,177,,,49.87574005126953,136.52969360351562,0.44808992743492126,,,,,,,,,,
,,178,,,43.49700164794922,112.23847961425781,0.5218247175216675,,,,,,,,,,
,,179,,,62.0568962097168,159.15771484375,0.4164915084838867,,,,,,,,,,
,,180,,,61.402992248535156,155.47918701171875,0.426248162984848,,,,,,,,,,
,,181,,,57.782989501953125,147.53179931640625,0.4573507308959961,,,,,,,,,,
,,182,,,60.99513626098633,150.3673858642578,0.4491211473941803,,,,,,,,,,
,,183,,,64.38414001464844,156.9993133544922,0.4209720194339752,,,,,,,,,,
,,184,,,56.865440368652344,145.1398162841797,0.45458298921585083,,,,,,,,,,
,,185,,,47.61592483520508,133.34213256835938,0.44565263390541077,,,,,,,,,,
,,186,,,48.06696701049805,132.3279266357422,0.48191213607788086,,,,,,,,,,
,,187,,,47.12139129638672,131.4740753173828,0.47287893295288086,,,,,,,,,,
,,188,,,71.44139099121094,164.48703002929688,0.4194067120552063,,,,,,,,,,
,,189,,,49.04772186279297,131.921142578125,0.4588709771633148,,,,,,,,,,
,,190,,,48.68944549560547,132.62753295898438,0.46210384368896484,,,,,,,,,,
,,191,,,57.26420974731445,142.5750274658203,0.49463504552841187,,,,,,,,,,
,,192,,,79.5938720703125,179.33200073242188,0.3804967403411865,,,,,,,,,,
,,193,,,42.00989532470703,119.10408020019531,0.5024511218070984,,,,,,,,,,
,,194,,,56.97980880737305,142.5908660888672,0.44787269830703735,,,,,,,,,,
,,195,,,61.989532470703125,147.909423828125,0.40758147835731506,,,,,,,,,,
,,196,,,70.14302825927734,160.11056518554688,0.43496784567832947,,,,,,,,,,
,,197,,,64.57789611816406,159.8338165283203,0.43075448274612427,,,,,,,,,,
,,198,,,64.15795135498047,159.76675415039062,0.3757590651512146,,,,,,,,,,
,,199,,,47.100032806396484,126.1276626586914,0.4955518841743469,,,,,,,,,,
,,200,,,56.891578674316406,143.12216186523438,0.4602159559726715,,,,,,,,,,
,,201,,,57.5571174621582,148.53408813476562,0.4236985743045807,,,,,,,,,,
,,202,,,45.56785202026367,126.80024719238281,0.4968767762184143,,,,,,,,,,
,,203,,,42.46723175048828,120.501953125,0.5285609364509583,,,,,,,,,,
,,204,,,56.19431686401367,142.953125,0.45961982011795044,,,,,,,,,,
,,205,,,69.54855346679688,164.69996643066406,0.39101794362068176,,,,,,,,,,
,,206,,,59.871559143066406,143.75534057617188,0.46394777297973633,,,,,,,,,,
,,207,,,57.73737335205078,141.40362548828125,0.5002006888389587,,,,,,,,,,
,,208,,,59.55183029174805,144.0931396484375,0.45998939871788025,,,,,,,,,,
,,209,,,47.56227111816406,124.78678894042969,0.4803849160671234,,,,,,,,,,
,,210,,,45.56782150268555,125.69004821777344,0.49503499269485474,,,,,,,,,,
,,211,,,48.562660217285156,128.6324005126953,0.49504393339157104,,,,,,,,,,
,,212,,,60.35064697265625,156.29086303710938,0.4279659688472748,,,,,,,,,,
,,213,,,48.235565185546875,131.1972198486328,0.4558727741241455,,,,,,,,,,
,,214,,,49.163124084472656,132.8861541748047,0.4738064408302307,,,,,,,,,,
,,215,,,51.3662109375,133.9089813232422,0.4596503674983978,,,,,,,,,,
,,216,,,54.16375732421875,139.70765686035156,0.4412851929664612,,,,,,,,,,
,,217,,,51.374412536621094,133.98927307128906,0.4532199800014496,,,,,,,,,,
,,218,,,48.78364181518555,125.3220443725586,0.5067471265792847,,,,,,,,,,
,,219,,,62.48627853393555,158.28964233398438,0.40045684576034546,,,,,,,,,,
,,220,,,46.83552169799805,125.08436584472656,0.4815846383571625,,,,,,,,,,
,,221,,,74.87861633300781,175.3218231201172,0.368091881275177,,,,,,,,,,
,,222,,,48.815284729003906,135.5155487060547,0.4207673966884613,,,,,,,,,,
,,223,,,45.999595642089844,126.27513122558594,0.5148452520370483,,,,,,,,,,
,,224,,,41.311119079589844,115.26130676269531,0.5102348923683167,,,,,,,,,,
,,225,,,57.66948318481445,150.48556518554688,0.411022424697876,,,,,,,,,,
,,226,,,56.5018196105957,148.75662231445312,0.43752798438072205,,,,,,,,,,
,,227,,,48.193145751953125,130.36959838867188,0.48547297716140747,,,,,,,,,,
,,228,,,52.592872619628906,133.4985809326172,0.4927733540534973,,,,,,,,,,
,,229,,,61.1545524597168,151.413330078125,0.45708560943603516,,,,,,,,,,
,,230,,,51.94622039794922,136.53639221191406,0.4406914710998535,,,,,,,,,,
,,231,,,64.2471694946289,152.26248168945312,0.44522079825401306,,,,,,,,,,
,,232,,,65.07404327392578,159.38375854492188,0.4225060045719147,,,,,,,,,,
,,233,,,59.911109924316406,145.9542694091797,0.48025351762771606,,,,,,,,,,
,,234,,,77.9588851928711,180.8268280029297,0.385550856590271,,,,,,,,,,
,,235,,,51.09431457519531,138.29464721679688,0.4625677168369293,,,,,,,,,,
,,236,,,52.370811462402344,140.55284118652344,0.45466357469558716,,,,,,,,,,
,,237,,,50.44862747192383,134.20877075195312,0.4783990979194641,,,,,,,,,,
,,238,,,47.2274284362793,126.77042388916016,0.5146141052246094,,,,,,,,,,
,,239,,,45.52117156982422,127.71833801269531,0.49743860960006714,,,,,,,,,,
,,240,,,43.25189971923828,126.0673828125,0.4907180666923523,,,,,,,,,,
,,241,,,41.20740509033203,111.12361145019531,0.5288506746292114,,,,,,,,,,
,,242,,,58.66455078125,152.13348388671875,0.4347783923149109,,,,,,,,,,
,,243,,,60.709197998046875,150.055908203125,0.44821396470069885,,,,,,,,,,
,,244,,,43.946598052978516,121.2414779663086,0.47536009550094604,,,,,,,,,,
,,245,,,71.2642593383789,157.2409210205078,0.4616963267326355,,,,,,,,,,
,,246,,,51.58221435546875,132.64076232910156,0.49699491262435913,,,,,,,,,,
,,247,,,59.65776824951172,151.3741912841797,0.43078121542930603,,,,,,,,,,
,,248,,,47.07339859008789,120.2750473022461,0.5087276697158813,,,,,,,,,,
